source,target,total_value,min_gas_price,transaction_count
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0x4a220e6096b25eadb88358cb44068a3248254675,0.0,12369665770.0,257
0x690b9a9e9aa1c9db991c7721a92d351db4fac990,0x4675c7e5baafbffbca748158becba61ef3b0a263,1.39543e+20,9428745978.0,1537
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,0.0,11564535089.0,259
0x28c6c06298d514db089934071355e5743bf21d60,0xddb3422497e61e13543bea06989c0789117555c5,0.0,11951364905.0,260
0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.0,12128201992.0,261
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.0,11458888431.0,262
0x1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,0x4a220e6096b25eadb88358cb44068a3248254675,0.0,10378385562.0,262
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0xc944e90c64b2c07662a292be6244bdf05cda44a7,0.0,11782799125.0,265
0x28c6c06298d514db089934071355e5743bf21d60,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0.0,11919517691.0,265
0x356f029fb2f673ca083ea223d5835f4ac00539dd,0x584bc13c7d411c00c01a62e8019472de68768430,0.0,13000000000.0,10
0x1a3007d449ec4f4220aa604d85b953eaebd0724b,0x1a3007d449ec4f4220aa604d85b953eaebd0724b,0.0,18760289322.0,10
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x4c2e59d098df7b6cbae0848d66de2f8a4889b9c3,0.0,19060059649.0,10
0x46340b20830761efd32832a74d7169b29feb9758,0x70e8de73ce538da2beed35d14187f6959a8eca96,0.0,14837120843.0,10
0x48c04ed5691981c42154c6167398f95e8f38a7ff,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,0.0,10000000000.0,10
0x0e098207a163a0f8415d575cb5126ebf378f00bf,0x9c354503c38481a7a7a51629142963f98ecc12d0,0.0,13822098217.0,10
0x60759ebe9fc07bb74ea93dab59dc0f8704b8b9e0,0xf36c296e87dd2d7adcef251a542561d4bbe07714,0.0,10878286394.0,10
0xd54e4f8a55247487dd7c8c59f14ee5c0c2889477,0xb37d31b2a74029b5951a2778f959282e2d518595,0.0,12520830053.0,10
0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xaaef88cea01475125522e117bfe45cf32044e238,0.0,13262118941.0,10
0x5ef9d31556dd8430d1943f8dda11401977c42abf,0x41e5560054824ea6b0732e656e3ad64e20e94e45,0.0,29500000000.0,10
