source,target,total_value,min_gas_price,transaction_count
0x60cedd66912df4def05e223e68782a8daf604652,0x00000000006c3852cbef3e08e8df289169ede581,3.4101E+18,3579094529,256
0xc8803d21a704bfebdbc394bd16501a4b36ad3a2d,0x00000000006c3852cbef3e08e8df289169ede581,8.72696E+18,4324579875,256
0x57edf3690d5318694ddb0e44ec018cdddbea0b9e,0x00000000006c3852cbef3e08e8df289169ede581,3.04026E+18,3676185391,256
0xa31af6cb27e16462ac69e9689da80f567385b256,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,8.69202E+18,3716826380,256
0x4042006f7672e6eb8387518c08d3c1d817137d3f,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1.24621E+19,8266913498,256
0x8450b412890e7d72f2ed6c573cd717ed4efcd219,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,4.18938E+19,5185841608,512
0x28c6c06298d514db089934071355e5743bf21d60,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0,3798057804,768
0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0,4032661362,1024
0x503828976d22510aad0201ac7ec88293211d23da,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,4330622754,2816
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0x3472a5a71965499acd81997a54bba8d852c6e53d,0,7819009155,257
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x525a8f6f3ba4752868cde25164382bfbae3990e1,0,30000000000,257
0xfe17767c974098154fa43d05abbbbf533d2737a0,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,8.23415E+18,4531080167,257
0xf3cd36797f0d8363768e8bb8f8bea48c34e519e2,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,2.98462E+19,3000000000,257
0x1d64a7dde86fdbd7901642a13751d4ff90af14cf,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,5.0685E+19,5564616245,257
0x6e3e1df1db7b8aa392d8429501a731bc2375fbaa,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,7.34295E+19,4836699505,257
0xa2b8608af1eae40ef19c487f3a770f66ddc7a10b,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,1.4345E+19,3476663415,257
0x72b9d017a7397be9a65ffcd8f3522e7282b3d2ee,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,3.67073E+19,3972245636,257
0x08732de237087ad9eac4b1b159728da7fbd9ca95,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,5.49302E+18,3588690050,257
0x95588f470240eb88c59afdf2dc596ab40410efd8,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,9.09746E+18,8417213789,257
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0xce3f08e664693ca792cace4af1364d5e220827b2,0,30000000000,257
0xd0e9f26f32c45c4e5dff1a63361f5d2f0cb9818d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2.4465E+19,5972532731,513
0x1e2293bad2bfeb31f99da607ab8146799384d079,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,7.55944E+19,3654790114,769
0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0,7199846286,1793
0xbea25c42521ff05ad95bc5d52e08f87016ab982e,0x00000000006c3852cbef3e08e8df289169ede581,2.026E+19,3343598470,258
0xb7f830845e9f385372ae6fb160aa968908f5bfbc,0x3506424f91fd33084466f402d5d97f05f8e3b4af,0,5745335998,258
