source,target,total_value,min_gas_price,transaction_count
0x8f30d84375b495e05aace487ececbfeb5f89f925,0x00000000006c3852cbef3e08e8df289169ede581,3.67512E+18,4258879417,256
0x6cc5f688a315f3dc28a7781717a9a798a59fda7b,0x656c00e1bcd96f256f224ad9112ff426ef053733,0,30000000000,256
0xf4d22c1e2a89762245e8f067f263c77293939702,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,3.68121E+19,4545557455,256
0x446ca44903354eef783633c7598652d67fe07c92,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,4.82714E+18,5354024170,256
0x5df5ddf036b051a7a171d0684ca076e41fd0cc8f,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,5.20375E+18,4591820412,256
0x71e006b29f713f0f7b52a323bf3672a362d0dace,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1.52137E+19,2968647971,256
0xb81fa650a882ec3f465e0e4a8dcf161b39343fbf,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,3.9E+19,5135348679,256
0xbf2499e4cda11eb33eea341ae425d85b6e93f028,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,2.6431E+19,7110570195,256
0xd0e9f26f32c45c4e5dff1a63361f5d2f0cb9818d,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1.247E+19,4184392433,256
0x05b5952da949f25368a5473d3d59b5ac73fad486,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0,33300000000,256
0x25a364b77ecfa3c110b4f75213a8562a44106454,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,1.1051E+19,9732502804,256
0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0,30000000000,256
0xddd168c3207dbf5d98bff6d39deb9b73b5fbd02a,0x95aa5d2dbd3c16ee3fdea82d5c6ec3e38ce3314f,0,5634620351,256
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0x320623b8e4ff03373931769a31fc52a4e78b5d70,0,4861937803,512
0xf339b0cfceca9f1ba1e108991aa21bc2a9441931,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,1.63265E+19,3548711994,512
