source,target,total_value,min_gas_price,transaction_count
0xcad621da75a66c7a8f4ff86d30a2bf981bfc8fdd,0x7695b749803caec09e2c02a03f2cbb6594407856,73586800000000000000,12137444004,10
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0,10664869486,9
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x3845badade8e6dff049820680d1f14bd3903a5d0,0,11376129760,5
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x4d224452801aced8b2f0aebe155379bb5d594381,0,10207224354,11
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x514910771af9ca656af840dff83e8264ecf986ca,0,12531266633,3
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x6b175474e89094c44da98b954eedeac495271d0f,0,11120384151,10
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0,10501682490,23
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0,10645323792,35
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,0,11616774095,4
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,10427502828,70
0x974caa59e49682cda0ad2bbe82983419a2ecc400,0xdac17f958d2ee523a2206206994597c13d831ec7,0,10144593690,644
0x077d360f11d220e4d5d831430c81c26c9be7c4a4,0x93585472f6b9f0c9a682eb7209c6296e5d75a8e6,12264760150000000000,11000000000,71
0x077d360f11d220e4d5d831430c81c26c9be7c4a4,0xa305fab8bda7e1638235b054889b3217441dd645,102602990000000000000,12000000000,10
0x077d360f11d220e4d5d831430c81c26c9be7c4a4,0xfc3fb8f78244f91b3b689024bfccef9b42acaa97,108085710000000000,13000000000,3
0xabc5d1b67c4c7604451c8d284dd7522abd661b99,0x881d40237659c251811cec9c364ef91dc08d300c,138000000000000000,13503419083,3
0xabc5d1b67c4c7604451c8d284dd7522abd661b99,0xab1446e47c211f5ce1ef2cc912fbd8aa368fe02b,0,12379237026,3
0xabc5d1b67c4c7604451c8d284dd7522abd661b99,0xaef41ec3933e7e1e17748ed48b663535c66d9a17,0,13145478546,3
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x06450dee7fd2fb8e39061434babcfc05599a6fb8,0,17367998573,98
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x12b6893ce26ea6341919fe289212ef77e51688c8,0,18877066078,15
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,0,18119344256,3
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x2791bfd60d232150bff86b39b7146c0eaaa2ba81,0,18222663970,5
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x3472a5a71965499acd81997a54bba8d852c6e53d,0,18000000000,3
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x3506424f91fd33084466f402d5d97f05f8e3b4af,0,19057660313,6
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x362bc847a3a9637d3af6624eec853618a43ed7d2,0,17166185966,3
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x38e4adb44ef08f22f5b5b76a8f0c2d0dcbe7dca1,0,18021060764,11
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x467719ad09025fcc6cf6f8311755809d45a5e5f3,0,18000000000,15
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x4a220e6096b25eadb88358cb44068a3248254675,0,19000000000,10
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x4fabb145d64652a948d72533023f6e7a623c7c53,0,20000000000,4
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x528f3e771a5d15ca265db606e29989da008ce6c3,35000000000000000,18000000000,5
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x59141af2478701c6e3aaf5848a7abe2751f029c3,42000000000000000,19000000000,6
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x656c00e1bcd96f256f224ad9112ff426ef053733,0,20340490293,4
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x6b175474e89094c44da98b954eedeac495271d0f,0,18029645588,12
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x6c5ba91642f10282b576d91922ae6448c9d52f4e,0,18000000000,7
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x6f259637dcd74c767781e37bc6133cd6a68aa161,0,17722687273,5
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x7420b4b9a0110cdc71fb720908340c03f9bc03ec,0,18000000000,18
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x761d38e5ddf6ccf6cf7c55759d5210750b5d60f3,0,17027773671,14
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x7695b749803caec09e2c02a03f2cbb6594407856,166113200000000000000,17896671572,9
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x80c62fe4487e1351b47ba49809ebd60ed085bf52,0,19000000000,6
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x8e6cd950ad6ba651f6dd608dc70e5886b1aa6b24,0,17000000000,20
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0,18000000000,4
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,17166185966,75
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xa2b4c0af19cc16a6cfacce81f192b024d625817d,0,17896671572,3
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xa87135285ae208e22068acdbff64b11ec73eaa5a,0,17000000000,35
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xaaaaaa20d9e0e2461697782ef11675f668207961,0,21000000000,3
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,0,20000000000,3
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xb705268213d593b8fd88d3fdeff93aff5cbdcfae,0,20000000000,3
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xba50933c268f567bdc86e1ac131be072c6b0b71a,0,21515820415,4
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xc00e94cb662c3520282e6f5717214004a7f26888,0,22000000000,3
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0,18000000000,3
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xc5fb36dd2fb59d3b98deff88425a3f425ee469ed,0,19000000000,12
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xcbfef8fdd706cde6f208460f2bf39aa9c785f05d,0,18000000000,37
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xd9408f29026e32852aff8c5c9c8ea834b44b4e1c,49000000000000000,18119344256,7
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xdac17f958d2ee523a2206206994597c13d831ec7,0,17000000000,254
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xf17e65822b568b3903685a7c9f496cf7656cc6c2,0,19000000000,3
0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xf411903cbc70a74d22900a5de66a2dda66507255,0,19000000000,7
0x0013bf79cceb9c0d0d5868c61aab9c858dbf60f6,0x06106e17becaf86900238fcfe1e804d70004c7a1,90800000000000000,10501306776,39
0x0013bf79cceb9c0d0d5868c61aab9c858dbf60f6,0xe74537008ce8568a1aca26059e805e9e6c47feeb,117050000000000000,10244443606,48
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0x0391d2021f89dc339f60fff84546ea23e337750f,0,11994883586,6
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0,12342368724,3
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0x15d4c048f83bd7e37d49ea4c83a07267ec4203da,0,11812242017,7
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,0,12749748738,4
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0x4d224452801aced8b2f0aebe155379bb5d594381,0,13696824191,6
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0x4e15361fd6b4bb609fa63c81a2be19d873717870,0,13569992193,4
0xf60c2ea62edbfe808163751dd0d8693dcb30019c,0x4fabb145d64652a948d72533023f6e7a623c7c53,0,13121504500,26
